AUTHOR;TITLE;JOURNAL;LANGUANGE;DOCTYPE;KEYWORDS;ABSTRACT;AFFILIATION;DOI;PUBYEAR;PUBVOL;PUBISSUE;FPAGE;LPAGE;ARTNUMBER;PAGENUM
Theodora, Yiota;Aegean Sea—Challenges and Dilemmas in Management and Planning for Local Development in Fragmented Insular Regions;Heritage;EN;Article;"insular planning; coastal planning; maritime spatial planning; urban development; regional development; participatory planning; spatial/sectoral/social networks; local communities; cultural heritage";"In an age of network organization and the digital revolution, under conditions of intense international competition alongside a multifaceted economic downturn, a new form of economy is developing, shaped by the learning society and knowledge-based economy. Under exceptionally difficult conditions where, despite all intentions, economic growth remains the main concern, often without terms or criteria, and even at environmental, territorial and socio-economic cost, the issue: Development for whom, where and on what terms remains &ldquo;open&rdquo;. In Greece decades-long unquestioning adoption of developmental models in conjunction with a methodically organized diminishment of the territorial dimension has undermined acquis which had been promoted for years as a prerequisite for life, re-introducing to the discussion the issue of how to plan the various levels and categories of territory, protecting the history and physiognomy of place, ensuring local development in terms of social justice and sustainability in an intensely globalised environment. An answer is sought regarding how best to manage human resources and cultural heritage on the basis of territorial/sectoral and social collaborative networks that are supralocal and transnational focusing on the model of &ldquo;endogenous development&rdquo;. Based on research experience regarding the Mediterranean and the Aegean, the article aims to underline the absence of a comprehensive island policy in Greece and highlight crucial issues that need to be resolved at the level of developmental and planning choices in order to eliminate instances of downgrading/abandonment of vulnerable remote and insular border regions. The proposals which are formulated are intended to contribute to the debate about a more equal development for islands and insular areas at a critical juncture for Greece.";Department of Urban and Regional Planning, School of Architecture, National Technical University of Athens (N.T.U.A.), Patission 42, 10682 Athens, Greece;10.3390/heritage2030108;2019;2;3;-;-;108;-
Bronec, Jakub;Transmission of Collective Memory and Jewish Identity in Post-War Jewish Generations through War Souvenirs;Heritage;EN;Article;"Jewish family heirlooms; Jewish material culture; ritual items";The article includes a sample of testimonies and the results of sociological research on the life stories of Jews born in the aftermath of World War II in two countries, Czechoslovakia and Luxembourg. At that time, Czechoslovak Jews were living through the era of de-Stalinization and their narratives offer new insights into this segment of Jewish post-war history that differ from those of Jews living in liberal, democratic European states. The interviews explore how personal documents, photos, letters and souvenirs can help maintain personal memories in Jewish families and show how this varies from one generation to the next. My paper illustrates the importance of these small artifacts for the transmission of Jewish collective memory in post-war Jewish generations. The case study aims to answer the following research questions: What is the relationship between the Jewish post-war generation and its heirlooms? Who is in charge of maintaining Jewish family heirlooms within the family? Are there any intergenerational differences when it comes to keeping and maintaining family history? The study also aims to find out whether the political regime influences how Jewish objects are kept by Jewish families.;C²DH—Luxembourg Centre for Contemporary and Digital History, University of Luxembourg, Maison des Sciences Humaines 11, Porte des Sciences, L-4366 Esch-sur-Alzette, Luxembourg;10.3390/heritage2030109;2019;2;3;-;-;109;-
"Kargas, Antonios; Loumos, Georgios; Varoutas, Dimitrios";Using Different Ways of 3D Reconstruction of Historical Cities for Gaming Purposes: The Case Study of Nafplio;Heritage;EN;Technical Note;"3D reconstruction; virtual reality technologies; historical cities; cultural technologies; gaming technologies; gamification";"Virtual reality (VR) technologies offer a unique opportunity in &ldquo;3D reconstruction&rdquo; of cultural monuments and historical cities that do not longer exist or have been modified (partially or totally). Even though technological capabilities are growing fast, emphasis is mainly given on developing virtual museums and exhibitions, while archaeological places and excavations are following. The present paper presents two distinct approaches for 3D reconstruction of the historical city of Nafplio (Greece), by developing 3D models for buildings and monuments the way they used to be in the 19th century. The authors have used their professional and academic experience deriving from their participation in a European Commission co-funded project in the framework of the Partnership Agreement 2007&ndash;2013, which was implemented by the &ldquo;V. Papantoniou&rdquo; Peloponnesian Folklore Foundation (the project&rsquo;s beneficiary) in Nafplio. The authors aim (a) to present the importance of reconstructing past cities and (b) to implement gaming technologies in cultural organizations as a means of achieve specific educational goals. Results point out the growing need for close cooperation between the cultural and academic worlds with 3D creators, and, moreover, reveal obstacles and opportunities in reconstructing historical cities and monuments.";Hellenic Open University, GR 15784, Athens, Greece;10.3390/heritage2030110;2019;2;3;-;-;110;-
"Chen, Otto; Han, Dawei";Rediscovering the Idea of Cultural Heritage and the Relationship with Nature: Four Schools of Essential Thought of the Ancient Han Chinese;Heritage;EN;Article;"Chinese cultural heritage; heritage discourse; intangible; resilience; sustainability; tangible";"After a long-standing debate of pluralism in heritage conservation, the global practice has just started to broaden its view from material to people and even to nature, leading to the potential of a more comprehensive understanding and harmony between these spheres. Notwithstanding that the shift from material to people and then to nature seemingly looks like the only path in the modern heritage conservation movement to achieve the foregoing goals, in fact, there exist some regional cultures that originally featured particular views on human&ndash;nature harmony. This paper hence highlights the regional difference in heritage with a focus on China of ancient times, which unfolds the particular perspective emphasising the unity of human and nature. With a case study of Huaqing Palace of the Tang Dynasty (618&ndash;907 CE), the research is expected to be the first attempt to rediscover that the four schools of thought, Buddhism, Taoism, Confucianism and I Ching, had jointly formed a &ldquo;wisdom&rdquo; system of the ancient Han Chinese in shaping the idea of cultural heritage, as well as the idea of heritage conservation, which were inherited by modern Chinese without knowing and recognising it. The paper, therefore, argues that without understanding and acknowledging the significance of the ancient Han Chinese&rsquo;s particular view on nature and the universe formed by the four schools of thought behind the material, it is not likely to protect and promote comprehensively their heritage value, such that the importance of cultural diversity will be just rhetoric.";Department of Civil Engineering, University of Bristol, Bristol BS8 1TR, UK;10.3390/heritage2030111;2019;2;3;-;-;111;-
"Rahaman, Hafizur; Champion, Erik";To 3D or Not 3D: Choosing a Photogrammetry Workflow for Cultural Heritage Groups;Heritage;EN;Article;"digital heritage; 3D Reconstruction; FOSS; photogrammetry; point clouds; cultural heritage";The 3D reconstruction of real-world heritage objects using either a laser scanner or 3D modelling software is typically expensive and requires a high level of expertise. Image-based 3D modelling software, on the other hand, offers a cheaper alternative, which can handle this task with relative ease. There also exists free and open source (FOSS) software, with the potential to deliver quality data for heritage documentation purposes. However, contemporary academic discourse seldom presents survey-based feature lists or a critical inspection of potential production pipelines, nor typically provides direction and guidance for non-experts who are interested in learning, developing and sharing 3D content on a restricted budget. To address the above issues, a set of FOSS were studied based on their offered features, workflow, 3D processing time and accuracy. Two datasets have been used to compare and evaluate the FOSS applications based on the point clouds they produced. The average deviation to ground truth data produced by a commercial software application (Metashape, formerly called PhotoScan) was used and measured with CloudCompare software. 3D reconstructions generated from FOSS produce promising results, with significant accuracy, and are easy to use. We believe this investigation will help non-expert users to understand the photogrammetry and select the most suitable software for producing image-based 3D models at low cost for visualisation and presentation purposes.;School of Media, Creative Arts, and Social Inquiry, Curtin University, Perth, WA 6845, Australia;10.3390/heritage2030112;2019;2;3;-;-;112;-
"Torrisi, Lorenzo; Venuti, Valentina; Crupi, Vincenza; Silipigni, Letteria; Cutroneo, Mariapompea; Paladini, Giuseppe; Torrisi, Alfio; Havránek, Vladimír; Macková, Anna; La Russa, Mauro; Birarda, Giovanni; Vaccari, Lisa; Macchia, Andrea; Khalilli, Fariz; Ricca, Michela; Majolino, Domenico";RBS, PIXE, Ion-Microbeam and SR-FTIR Analyses of Pottery Fragments from Azerbaijan;Heritage;EN;Article;"pottery; Azerbaijan; RBS; PIXE; ion-microbeam; SR-FTIR; technology";The present work is aimed at the investigation of the ceramic bulk and pigmented glazed surfaces of ancient potteries dating back to XIX century A.D. and coming from the charming archeological site located in the Medieval Agsu town (Azerbaijan), a geographic area of special interest due to the ancient commercial routes between China, Asia Minor, and Europe. For the purpose of the study, complementary investigation tools have been exploited: non-destructive or micro-destructive investigation at elemental level by ion beam analysis (IBA) techniques, by using Rutherford Backscattering Spectrometry (RBS), Proton-Induced X-ray Emission (PIXE) spectroscopy and ion-microbeam analysis, and chemical characterization at microscopic level, by means of synchrotron radiation (SR) Fourier transform infrared (FTIR) microspectroscopy. The acquired information reveals useful for the identification of the provenance, the reconstruction of the firing technology, and finally, the identification of the pigment was used as a colorant of the glaze.;Dipartimento di Scienze Matematiche e Informatiche, Scienze Fisiche e Scienze della Terra, Università degli Studi di Messina, Viale Ferdinando Stagno d’Alcontres 31, 98166 S. Agata, Messina, Italy;10.3390/heritage2030113;2019;2;3;-;-;113;-
Tawab, Ayman;The Assessment of Historic Towns’ Outstanding Universal Value Based on the Interchange of Human Values They Exhibit;Heritage;EN;Article;"historic towns; World Heritage Sites; world heritage criteria; Outstanding Universal Value; Rosetta";"Influences exerted by cultural heritage properties on developments in architecture, town planning, or landscape design represent one of the criteria that are used to evaluate the Outstanding Universal Value of the properties nominated for listing as World Heritage Sites, which is criterion (ii). In 1996, the wording of criterion (ii) was revised to address the interchange of human values exhibited by cultural heritage properties. The main aim of this study was to discuss the changes that occurred to the application of criterion (ii) following the revision of its wording of 1996, particularly in relation to historic towns. The study also aimed at investigating the applicability of the revised version of criterion (ii) to the particularity of the cultural heritage of an Egyptian historic town and a potential World Heritage Site, which is &ldquo;Historic quarters and monuments of Rosetta/Rachid&rdquo;. To achieve these aims, a sample of World Heritage Sites, or potential ones, representing both the pre-1996 and the post-1996 historic towns whose Outstanding Universal Value was justified based on criterion (ii), was adopted for the analysis of the changes in the application of criterion (ii). Subsequently, a brief preview of the major features that represent the mutual influences experienced throughout Rosetta&rsquo;s wider cultural context was carried out. The findings revealed that the prevalent trend in the post-1996 listings of historic towns is the emphasis on other cultures&rsquo; influences exerted on the concerned historic towns through interchanges of human values that take the form of exchanges of technical know-how, traditions and religious values. The findings also indicated the applicability of the revised version of criterion (ii) to the particularity of Rosetta&rsquo;s cultural heritage. The study recommends inscribing Rosetta on the World Heritage List based on criterion (ii).";Department of Architectural Engineering, Tanta University, Tanta 31511, Egypt;10.3390/heritage2030114;2019;2;3;-;-;114;-
"Gaitán, Mar; Alba, Ester; León, Arabella; Pérez, Manolo; Sevilla, Javier; Portalés, Cristina";Towards the Preservation and Dissemination of Historical Silk Weaving Techniques in the Digital Era;Heritage;EN;Article;"silk; weaving; designs; modelling; 3D; image processing";"Historical weaving techniques have evolved in time and space giving as result more or less fabrics with different aesthetical characteristics. These techniques were transferred along the main silk production centers, thanks to the European Silk Road and creating a common European Frame on themes and techniques. These had made it complicated to determine whether a fabric corresponds to one century or another. Moreover, in order to understand their creation, it is necessary to determine the number of weaves and interlacements that each textile has, therefore, mathematical models can be extracted from these layers. In this sense, three dimensional (3D) virtual representations of the internal structure of textiles are of interest for a variety of purposes related to fashion, industry, education or other areas. The aim of this paper is to propose a mathematical modelling of historical weaving techniques by means of matrices in order to be easily mapped to a virtual 3D representation. The work focuses on historical silk textiles, ranging from the 15th to the 19th centuries. We also propose a computer vision-based strategy to extract relevant information from digital imagery, by considering different types of images (textiles, technical drawings and macro images). The work here presented has been carried out in the scope of the SILKNOW project, which has received funding from the European Union&rsquo;s Horizon 2020 research and innovation program under grant agreement No. 769504. The results shown in the paper are preliminary and will be improved in the scope of the project.";Department of Art History, Universitat de València, 46010 València, Spain;10.3390/heritage2030115;2019;2;3;-;-;115;-
Nikolopoulou, Konstantina;Grass-Roots Initiatives and Bottom-Up Musealisation Mechanisms in Urban Space: The Case of Heraklion Crete;Heritage;EN;Article;"cultural heritage; grass-roots initiatives; urban space; urban landscape; tourism; bottom-up musealisation mechanisms; Heraklion; Crete";"Heraklion is gradually transforming into the newest tourist destination in Crete, which is one of the most popular island destinations in Greece. The regional statutory and local tourist bodies aim to develop Heraklion as a destination per se, overcoming the &ldquo;gateway to the rest of the island&rdquo; identity that the city currently holds. At the same time, grass-roots initiatives are active in the city context, defending public space and urban cultural heritage, in idiosyncratic, bottom-up ways. This paper investigates the role undertaken by three such initiatives, currently active in Heraklion, to better comprehend their possible impact on the urban landscape and cultural heritage, within this gradually developing tourist landscape. The structure, aims and vision of the initiatives were documented through semi-structured interviews. Their actions, despite being diverse, are compared to the wider activity of similar initiatives in Greece, especially against neoliberal politics, culminating in defending public space, activating bottom-up musealisation mechanisms and participating in urban design in their own ways.";Museology Laboratory ‘Museolab’, University of the Aegean, University Hill, 81100 Mytilene, Lesvos, Greece;10.3390/heritage2030116;2019;2;3;-;-;116;-
"Cuperschmid, Ana; Fabricio, Márcio; Franco, Júlio";HBIM Development of A Brazilian Modern Architecture Icon: Glass House by Lina Bo Bardi;Heritage;EN;Article;"Heritage Building Information Modeling; 3D modeling; Glass House; cultural heritage documentation; mid-century architecture; modernism";"Lina Bo Bardi&rsquo;s Glass House (Casa de Vidro) is a National Historic Landmark designed and built in the late 1940s in S&atilde;o Paulo, Brazil. The house is one of the symbols of modern Brazilian mid-century architecture. It is a historiographical reference of the history of modern architecture in Brazil. This article reports the experience, outcomes, challenges, benefits, and limitations of the Heritage Building Information Modeling (HBIM) process. The HBIM was developed for Lina&rsquo;s Glass House considering the following steps: modeling planning; data acquisition; model elaboration; recording of pathologies and damage; data management; documentation process. The HBIM developed includes historical information and geometric data from direct measurements, laser scanning, photographic survey, and pathologies documentation. The model allows professionals responsible for architecture, conservation, and restoration to access integrated information on projects and the current condition of the buildings easily and quickly. Good precision was achieved for important building elements, contributing to maintenance and restoration actions. This experience allowed the development of an integrated workflow of activities for collecting, processing, recording, and managing information that may serve as a baseline for future projects for the documentation of modernist buildings.";School of Civil Engineering and Architecture, Department of Architecture and Construction, University of Campinas (UNICAMP), Campinas, SP 13083-889, Brazil;10.3390/heritage2030117;2019;2;3;-;-;117;-
