"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B28XFTKC","book","2004","Weiermann, Thomas","Evaluation der Usability von Websites mittels Kriterienkatalogen: vom Keevil Usability Index zum Web Usability Index: Gemeinsamkeiten, Unterschiede, Optimierungspotenziale","","978-3-638-70305-5","","","","","2004","2019-05-28 16:06:40","2019-05-28 16:06:40","","","","","","","","","","","","","Grin-Verl.","München","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1. Aufl.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUAVKYDX","book","2006","Nielsen, Jakob (1957-); Loranger, Hoa","Web usability; Prioritizing web usability dt.","","978-3-8273-2763-5;; 978-3-8273-2448-1;; 3-8273-2448-3","","","http://digitale-objekte.hbz-nrw.de/storage/2007/05/31/file_103/1925561.pdf","","2006","2019-05-28 16:07:12","2019-05-28 16:07:12","","","","","","","","","","","","","Addison-Wesley","München u.a.","","","","","","","","","","","","","Benutzerfreundlichkeit; Gestaltung; Web-Seite","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4JS69RF","book","2010","Broschart, Steven","Suchmaschinenoptimierung & usability: Website-Ranking und Nutzerfreundlichkeit verbessern ; Google, Bing & Co.: So steigern Sie Ihr Suchmaschinenranking ; optimale Usability: So verwandeln Sie Besucher in Kunden ; das SEO- und User-Experience-Labor: zahlreiche Praxis-Tools und Videos auf CD!","","978-3-7723-7449-4","","","http://www.gbv.de/dms/zbw/609676083.pdf; http://digitale-objekte.hbz-nrw.de/storage/2010/06/20/file_4/3812069.pdf","","2010","2019-05-28 16:15:23","2019-05-28 16:15:23","","","","","","","","","Online-Marketing","","","","Franzis","Poing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5QMRDNC","book","2015","Heuwing, Ben","Usability-Ergebnisse als Wissensressource in Organisationen","","978-3-86488-084-1 3-86488-084-X","","","http://digitale-objekte.hbz-nrw.de/storage2/2016/09/13/file_110/6896794.pdf","","2015","2019-05-28 16:15:38","2019-05-28 16:15:38","","","","","","","","","Schriften zur Informationswissenschaft, Teil 68","","","","Hülsbusch","Glückstadt","","","","","","","","","","","","","Benutzerfreundlichkeit; Know-how-Transfer; Organisation; Softwareentwicklung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3I8TVIX","book","2008","Gellner, Michael","Usability Evaluation Patterns: Best Practices zur Durchführung von Usability-Evaluationen","","978-3-8364-8497-8","","","http://digitale-objekte.hbz-nrw.de/storage/2009/06/18/file_14/3045234.pdf","","2008","2019-05-28 16:16:55","2019-05-28 16:16:55","","","","","","","","","","","","","VDM Verlag Dr. Müller","Saarbrücken","","","","","","","","","","","","","Benutzerfreundlichkeit; Leistungsbewertung; Einführung; Entwurfsmuster; Formale Sprache; Softwaresystem; Vorgehensmodell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUARJLFI","book","2005","Nielsen, Jakob (1957-); Tahir, Marie","Homepage usability: 50 websites deconstructed","","0-7357-1102-X","","","http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&local_base=BVB01&doc_number=017078767&sequence=000002&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA","","2005","2019-05-28 16:17:37","2019-05-28 16:17:37","","","","","","","","","","","","","New Riders","Indianapolis, Ind.","","","","","","","","","","","","","Benutzerfreundlichkeit; Gestaltung; Web-Seite; World Wide Web","","","","","","","","","","","","","","","","","","","","1. print., Nachdr.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2NQVKFS","book","2007","Aykin, Nuray","Usability and Internationalization. Global and Local User Interfaces Elektronische Ressource: Second International Conference on Usability and Internationalization, UI-HCII 2007, Held as Part of HCI International 2007, Beijing, China, July 22-27, 2007, Proceedings, Part II","","978-3-540-73289-1","","","","","2007","2019-05-28 16:18:27","2019-05-28 16:18:27","","","","","","","","","Lecture Notes in Computer Science, Teil 4560","","","","Springer-Verlag Berlin Heidelberg","Berlin, Heidelberg","","","","","","","","DOI: 10.1007/978-3-540-73289-1 Published: Elektronisch","","","","","Computer Communication Networks; Computer science; Information storage and retrieval systems; Information systems; Multimedia systems; Translators (Computer programs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJDV39HE","book","2015","Florin, Alexander","User - Interface - Design: Usability in Web- und Software-Projekten","","978-3-7386-1238-7 3-7386-1238-6","","","http://digitale-objekte.hbz-nrw.de/storage2/2018/07/07/file_251/8091928.pdf","Verlagsangaben: Projekte für Webseiten oder Software fordern heute neben dem bloßen Funktionieren auch eine einfache Bedienung. Was „einfach“ oder „intuitiv“ ist, hängt dabei von der Nutzungssituation und der Zielgruppe ab. Usability wird nicht am Ende eines Projektes auf eine Webseite oder Software aufgetragen – Usability kann nur gelingen, wenn sie in allen Projektphasen und von allen Beteiligten ernstgenommen wird. Das Buch „User – Interface – Design“ beschreibt nicht nur die Ansprüche an eine gute Nutzer-Schnittstelle, sondern bietet einen Überblick und Einstieg in alle Aspekte des Interface-Design: von Geschichte über Design-Grundlagen und Standard-Elemente bis zu ISO- und DIN-Normen. Ein umfangreiches Glossar erläutert die Fachbegriffe, und zahlreiche Checklisten unterstützen bei der Umsetzung im Alltag. (via http://deposit.dnb.de/cgi-bin/dokserv?id=5290954&prov=M&dok_var=1&dok_ext=htm)","2015","2019-05-28 16:19:13","2019-05-28 16:19:13","","","","","","","","","Einstieg und Praxisratgeber","","","","Books on Demand","Norderstedt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPLDRENS","book","2014","Krug, Steve","Don't make me think!: web & mobile usability - das intuitive Web ; revisited; Don't make me think, revisited dt.","","978-3-8266-9705-0 3-8266-9705-7","","","http://digitale-objekte.hbz-nrw.de/storage2/2015/02/01/file_32/5986696.pdf","Verlagsangaben: Lernen Sie anhand der aktualisierten Neuauflage dieses Klassikers, wie Websites wirklich benutzt werden, und entwickeln Sie benutzerfreundliche Webseiten, die die User gerne wieder besuchen! Anhand aussagekräftiger Vor- und Nachher-Beispiele, vieler Grafiken und einer Prise Humor erhalten Sie eine ganz neue Perspektive auf Ihr Websitekonzept. Mit einfachen eigenen Tests kann jeder seine Webseite so optimieren, dass sie sich intuitiv anwenden lässt. (via http://deposit.dnb.de/cgi-bin/dokserv?id=4785049&prov=M&dok_var=1&dok_ext=htm)","2014","2019-05-28 16:19:40","2019-05-28 16:19:40","","","","","","","","","","","","","mitp","Frechen","","","","","","","","","","","","","Benutzerfreundlichkeit; Gestaltung; Web-Seite; Benutzerorientierung; Kundenorientierung","","","","","","","","","","","","","","","","","","","","3. Aufl.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KRJ3FFY","book","2017","Jacobsen, Jens (ca. 20. Jh.); Meyer, Lorena (ca. 20. Jh.)","Praxisbuch Usability & UX: was jeder wissen sollte, der Websites und Apps entwickelt","","978-3-8362-4423-7","","","http://digitale-objekte.hbz-nrw.de/storage2/2018/02/28/file_4/7570092.pdf","Verlagsangaben: Von Praktikern für Praktiker: Dieses Buch enthält alles, was Sie für die Planung und Umsetzung nutzerfreundlicher Webseiten wissen sollten. Profitieren Sie von jahrzehntelanger Erfahrung und lernen Sie, wie Sie Seiten navigierbar gestalten, Inhalte zugänglich präsentieren und User begeistern. Die Anleitung für alle, die neue Websites erstellen oder bestehende verbessern möchten. Auch geeignet als Nachschlagewerk! Aus dem Inhalt: User Centered Design Agiles Usability Engineering Personas, Tests und Reviews Nutzerführung und Seitengestaltung Mockups und Wireframes Mobilgeräte und Nutzungskontexte Inhaltselemente sinnvoll einsetzen Nutzerfreundlich schreiben A/B-Tests und Analysen Galileo Press heißt jetzt Rheinwerk Verlag. (via http://deposit.dnb.de/cgi-bin/dokserv?id=bcbab55b318a43beb190b293b793633a&prov=M&dok_var=1&dok_ext=htm)","2017","2019-05-28 16:20:21","2019-05-28 16:20:21","","","","","","","","","Rheinwerk computing","","","","Rheinwerk Verlag GmbH","Bonn","","","","","","","","","","","","","Benutzerfreundlichkeit; Benutzerorientierung; App; Programm; Webdesign","","","","","","","","","","","","","","","","","","","","1. Auflage","","","","","","","","","","","","","","","","","","","","","","","","","",""
